endTime,artistName,trackName,msPlayed
2024-08-01 01:03,DevilDriver,Cry for Me Sky (Eulogy of the Scorned),95338
2024-08-01 01:04,mgk,Lonely Road (with Jelly Roll),2252
2024-08-01 01:04,Kix,Blow My Fuse,10820
2024-08-01 01:07,Kix,Blow My Fuse,119838
2024-08-01 01:14,Disturbed,Prayer,87423
2024-08-01 01:23,Kid Cudi,The Prayer,146495
2024-08-01 11:59,Gordo,Sideways,3328
2024-08-01 12:02,Post Malone,Chemical,184013
2024-08-01 12:06,The Fray,You Found Me,241853
2024-08-01 12:07,Cage The Elephant,Cigarette Daydreams,8888
2024-08-01 12:11,J. Cole,Power Trip (feat. Miguel),241160
2024-08-01 12:12,Quinn XCII,Straightjacket,85635
2024-08-01 12:18,The Goo Goo Dolls,Sympathy,336812
2024-08-01 12:19,Pink Floyd,Breathe (In the Air),94512
2024-08-01 12:24,The Goo Goo Dolls,Sympathy,298007
2024-08-01 12:24,Pink Floyd,Breathe (In the Air),9851
2024-08-01 12:33,80purppp,Hex,2922
2024-08-01 12:33,J. Cole,Power Trip (feat. Miguel),30015
2024-08-01 12:33,Tai Verdes,Stuck In The Middle,1450
2024-08-01 12:33,Queens of the Stone Age,Make It Wit Chu,4650
2024-08-01 12:33,The Goo Goo Dolls,Sympathy,413584
2024-08-01 12:33,Kavinsky,Nightcall,1578
2024-08-01 12:33,Trippie Redd,Taking A Walk,1855
2024-08-01 12:33,iann dior,gone girl (feat. Trippie Redd),9024
2024-08-01 12:33,XXXTENTACION,whoa (mind in awe),1642
2024-08-01 12:33,Dave Matthews Band,Crash into Me,1194
2024-08-01 12:34,XXXTENTACION,Revenge,6677
2024-08-01 12:34,XXXTENTACION,Everybody Dies In Their Nightmares,1365
2024-08-01 12:34,Stick Figure,World on Fire (feat. Slightly Stoopid),3989
2024-08-01 12:36,The Goo Goo Dolls,Sympathy,126997
2024-08-01 12:37,Ramirez,Grey Gods,97023
2024-08-01 12:37,Ramirez,Sarcophagus II,2197
2024-08-01 12:38,Ramirez,The fo Five,11583
2024-08-01 12:39,Jazz Playaz,2 Bricks Later,4245
2024-08-01 12:39,Three 6 Mafia,Neighborhood Hoe,81151
2024-08-01 12:39,Xavier Wulf,Still Will,1471
2024-08-01 12:40,Chris Travis,Memphis To LA,1770
2024-08-01 12:40,Germ,Han Solo,28671
2024-08-01 12:41,Project Pat,North Memphis,68031
2024-08-01 12:42,10 Wanted Men,Act Like U Know,6720
2024-08-01 12:42,Slim Thug,Thug,80640
2024-08-01 12:42,Professor Creepshow,Fat Hands Big Stash,1877
2024-08-01 12:42,Domsta,U Phonky Bieutch U,2965
2024-08-01 12:42,Black Smurf,Must Survive,1450
2024-08-01 12:42,Xavier Wulf,Mobbin,1386
2024-08-01 12:44,Tear Da Club Up Thugs,DaLazDayz,3008
2024-08-01 12:44,Jay$plash,Fully Hydrated,2389
2024-08-01 12:44,Jazz Playaz,Alphabetical Alchemy,1514
2024-08-01 12:44,MemoTheMafioso,Swervin',8063
2024-08-01 12:44,Professor Creepshow,64 Chevy,2623
2024-08-01 12:44,Three 6 Mafia,Weak Azz B***h (feat. La Chat),88810
2024-08-01 12:44,Xavier Wulf,Mugen Woe,1621
2024-08-01 12:45,Three 6 Mafia,Mafia N****z,53162
2024-08-01 12:47,DJ Sacred,Bonus Terror,1749
2024-08-01 12:47,10 Wanted Men,Survivin n Poverty,3477
2024-08-01 12:47,Chris Travis,Purple Thoughts,1066
2024-08-01 12:47,Domsta,Glimpse,1258
2024-08-01 12:47,Xavier Wulf,Akina Speed Star,5354
2024-08-01 12:47,Project Pat,If You Ain't From My Hood (feat. Juicy J & DJ Paul),91733
2024-08-01 12:49,Three 6 Mafia,Where's Da Bud,108053
2024-08-01 12:50,Chris Travis,Sip That Shit,1237
2024-08-01 12:50,Professor Creepshow,West 2 the South,1280
2024-08-01 12:50,Xavier Wulf,Nightshift,1770
2024-08-01 12:50,MF Khaos,SIC TV,1237
2024-08-01 12:50,DJ Spanish Fly,Dope Game,7530
2024-08-01 12:50,Xavier Wulf,Fort Woe,1557
2024-08-01 12:50,Domsta,SouthWest Certified 2,512
2024-08-01 12:50,Young Bleed,An Offer U Can't Refuse,1407
2024-08-01 12:50,Project Pat,Cheese and Dope,2069
2024-08-01 12:50,Chris Travis,FallenLeaves,1066
2024-08-01 12:50,10 Wanted Men,Listen Up,1386
2024-08-01 12:50,WWE,Some Bodies Gonna Get It (Mark Henry),58282
2024-08-01 12:50,Chris Travis,With My Friends,981
2024-08-01 12:50,Shawty Pimp,For Them Bustas,1386
2024-08-01 12:50,Amber London,Strikkly 4 My Sippaz,1834
2024-08-01 12:50,Domsta,Penny Nickle Dime,2133
2024-08-01 12:50,Black Smurf,Could've Been Worse,1343
2024-08-01 12:50,Xavier Wulf,From Ross and Holmes,1834
2024-08-01 12:50,Xavier Wulf,Tortuga,2581
2024-08-01 12:50,Dj Smokey,Kickin in Ya Door,2431
2024-08-01 12:50,Xavier Wulf,Whiplash'd,1728
2024-08-01 12:50,Ruben Slikk,The Things I Say,1194
2024-08-01 12:50,10 Wanted Men,Still Wanted,1962
2024-08-01 12:50,JGRXXN,OneFifteen,1621
2024-08-01 12:50,Soulzay,Lawless,2111
2024-08-01 12:50,X-Raided,Everybody Killa,4010
2024-08-01 12:51,Scarface,No Tears,2581
2024-08-01 12:51,Xavier Wulf,Black Cloud,3583
2024-08-01 12:51,I-20,Hennessey & Hydro,9023
2024-08-01 12:51,Waka Flocka Flame,For My Dawgs,9855
2024-08-01 12:51,Master P,Pass Me Da Green,2218
2024-08-01 12:51,Devilish Trio,The 3,2965
2024-08-01 12:51,The Dayton Family,79th & Halstead,2261
2024-08-01 12:52,Lil Jon,Act A Fool,1877
2024-08-01 12:52,Lil Sko,Miss White Cocaine,2048
2024-08-01 12:52,Juicy J,Who da Neighbors,38677
2024-08-01 12:52,Juicy J,A Zip and a Double Cup,6314
2024-08-01 12:52,Xavier Wulf,Thunder Man,2197
2024-08-01 12:52,8Ball & MJG,Pimps In The House,2346
